clean_tweets,label,classes
the army ha a long history of producing vaccine they are working at walterreed medical institute on a,fact/announcement,0
covidvaccine a part fairy tale,fact/announcement,0
had my covidvaccine today and everyone keep asking me how i got it like they are sold out beyonce ticket,opinion,1
here is what aina rattu gurkiranjit medical assistant said about getting the covidvaccine we were not,fact/announcement,0
new machine learning model predicts covid severity machinelearning covid,fact/announcement,0
done and now i wait min bless this awesome nurse vaccination covidvaccine,opinion,1
covidvaccine vaccination pfizervaccine pfizer covid uk they are killing people,opinion,1
watch out just had this email scam covidvaccine,fact/announcement,0
just published by the lancet correspondence between bucci and logunov contending the need for further data sharing,fact/announcement,0
thanks president trump for operation war speed thanks president biden for following through covidvaccine covid,opinion,1
what do our local doctor think of the covidvaccine scam in this video by you see inside a local icu,fact/announcement,0
what is happening with the vaccination programme for the romney marsh covidvaccine,opinion,1
asked about the reaction upon learning their covidvaccine wa effective it wa a very emotio,fact/announcement,0
if this is happening anywhere it at the cost of innocent life covid covidvaccine letssavelives,opinion,1
covidvaccine is getting ready le corona now,fact/announcement,0
suggests rate of covidvaccine roll out will take year for u all qc er to be vaccinated i neve,fact/announcement,0
just had my first dose of the covid vaccine let u hope we can get back to normal soon covidvaccine,opinion,1
thank you for hosting a pleasant and well organized vaccination site covidvaccine,opinion,1
unsure about the covidvaccine in the context of pregnancy fertility data so far suggest that it is safe g,fact/announcement,0
last i heard the cna in any doctor or healthcare clinic wa qualified to give a shot did not know there needed to,opinion,1
covidvaccine a on rd january till am beneficiary have received the vaccination under the coun,fact/announcement,0
just received the happy call from for my covidvaccine woo hoo,opinion,1
do not delay your vaccination covid vaccination covishield covidvaccine vaccinessavelives,opinion,1
yes this we need to dumb it down so more people get the vaccine mrna covidvaccine,opinion,1
new resource having a vaccine for coronavirus a wordless story to support conversation about the covidvaccine,fact/announcement,0
indiana kentucky are neck neck covidvaccine,opinion,1
covidvaccine appointment phonelines are temporally down we apologize for any inconvenience we ar,fact/announcement,0
woot mom got first shot of the covidvaccine today in arlington va,opinion,1
stop taking these otc medicine before getting a coronavirus vaccine advises covid,fact/announcement,0
next shipment of covidvaccine for nyc k dos are well short of goal of inoculating million p,fact/announcement,0
looking for info about the covidvaccine we have answer to frequently asked q for heartdisease patient lear,fact/announcement,0
thank you minister for not interfering in our personal freedom covidvaccines covidvaccine,opinion,1
southafrica halted the use of the astrazeneca oxford covidvaccine yesterday after evidence emerged that it did not,fact/announcement,0
janssen vaccine received today one done covidvaccine,opinion,1
record number of recovery i guess that would not because phony outrage covidvaccine,opinion,1
what a ghastly israeli minister on andrewmarr denying palestinian covidvaccine rabbi want a change but are being ignored,opinion,1
scientist at rrh and are helping to launch a clinicaltrial to study a third dose of the pfizer biontech,fact/announcement,0
maharashtraneedsvaccine many plces in maharashtra covidvaccine is not available due to lower,fact/announcement,0
a look at how blockchain due to it immutability transparency and traceability could offer efficient and acc,fact/announcement,0
great day for science and humanity what are your thought on the newly developed covid vaccine would you g,fact/announcement,0
got my covidvaccine today nyc essexcrossing wa surprisingly efficient thanks to for helping me scor,opinion,1
un chief recognizes india s pharmaceutical might pharmacyoftheworld capitalism globalism,fact/announcement,0
a great link to have moving forward covid covid news covidvaccine vaccineswork,fact/announcement,0
s elfonashelf ha just arrived imacelebrity covid covid uk covidvaccine fbpe kbf,fact/announcement,0
we need to make it clear it is ok to get vax on anticoag covidvaccine should people on blood thinner avoid the,fact/announcement,0
cv location show covidvaccine slot in ca arvin bakersfield eureka madera pollock pine porterville reedley,fact/announcement,0
is history repeating with the death and injury from the covidvaccine america flu vaccine tragedy usa to,fact/announcement,0
when can you get the covidvaccine learn more covid inthistogether,fact/announcement,0
yesterday received a safe effective covidvaccine the faster we can get vaccine in arm the faster,opinion,1
the official nye song covid au covidvic newyearseve nye newyearwithfarmers newyears,fact/announcement,0
there is a dark humor in giving vaccine inside the agriculture center at the fairground covidvaccine fuckcovid,opinion,1
this is the waiting in line attitude while getting their covidvaccine me it look like you have a slight temper,opinion,1
fancy working for our team helping with the covidvaccine programme we have a number of exciting opportunity f,fact/announcement,0
blessed to receive my nd covid vaccine today thank you science covidvaccine healthcareworker ot,opinion,1
it is very important to invest in alstreatmentsnow,fact/announcement,0
a pooled analysis of the oxford covidvaccine show that efficacy wa higher among those with a long,fact/announcement,0
join mayor tonight along with the area trusted health leader to learn more about the covid,fact/announcement,0
it is unfair to blame the government for covidvaccine delay outside of it control but it is vital that a soon a,opinion,1
new covid warning cat hurricane covidvaccine axiosam,fact/announcement,0
watch many israeli have been fortunate enough to receive the covidvaccine we hope lesson learned in israel wil,fact/announcement,0
like your dick your mouth need to be covered wearmask covidvaccine covid,opinion,1
getting involved in the vaccine rollout can be a win win for everyone while helping expedite covidvaccine distri,fact/announcement,0
happy friday covidvaccine,opinion,1
now this is class it is his st birthday and he is promoting covidvaccine all while bitter dlist celebs like ba,opinion,1
celebrating that my step mom in her s in fl just got the covidvaccine grateful that science is protecting my family,opinion,1
saving life is key and while we are still giving the covidvaccine to healthcareworkers we are starting with our,fact/announcement,0
half of all adult in uk have received their first dose of the covid vaccine nottingham covid vaccine,fact/announcement,0
we applaud change of heart and hope this spread covidvaccine,opinion,1
vaers vaccineadverseeventsreportingsystem site is purposefully difficult to maneuver here are the death inj,opinion,1
a per the report russia ha become the first one to register a coronavirusvaccine coronavirus,fact/announcement,0
share your research expertise on covid at epidemiologyhealthmeet webinar on november submit your abst,fact/announcement,0
it wa a very eventful day takethejab covidvaccine vaccine thankyoudolly thankyouscientists west,opinion,1
i am waiting in line for my second covidvaccine dose at the moment reading twitter feed and seeing people complain,opinion,1
just like with the wa also an earlyvoting site in the election covid covidvaccine,fact/announcement,0
tbc this reaction is not a covidvaccine side effect this is just baseline melissa a my colleagu,fact/announcement,0
urgent need to ensure covidvaccine safety message tailored to reach community working with trusted messenger w,fact/announcement,0
have patience be kind covidvaccine,opinion,1
today s summary of event manuscript rejected grant not funded received nd dose of covidvaccine so,opinion,1
cv location show covidvaccine slot in md beltsville chester frederick germantown oakland rockville temple hill,fact/announcement,0
morocco in the top ten country for covidvaccine,fact/announcement,0
covidvaccine biggest boon for travelindustry pitch to now freed to travel bursting to ma,fact/announcement,0
there is alot more to know about these covidvaccines though pfizer is considered to be the most effective one till,fact/announcement,0
release the patent now peopleoverprofit covidvaccine remembering albert sabin and the vaccine that changed the,fact/announcement,0
from today in pa covidvaccine with serious medical condition go get in line lafcolcovid,fact/announcement,0
great covidvaccine event this weekend from,fact/announcement,0
interesting newyork state covid government covidvaccine mismanagement america themoreyouknow world,opinion,1
i am with the queen waiting not never on the covidvaccine a lot of you breathing healthy anti vaxe,opinion,1
do you think we need a covidvaccine passort,opinion,1
just got my nd moderna shot moderna covidvaccine,opinion,1
commissioner of police bhubaneswar cuttack shri administered the first dose of covidvaccine,fact/announcement,0
living w a health condition have q s about the covidvaccine check out this resource by the c,fact/announcement,0
here are some tip to stay healthy during these time covid covid uk covidvaccine coronavirus covid,fact/announcement,0
while getting my first covidvaccine shot i turned into this guy ifyouknowyouknow side note you can on,opinion,1
this is an interesting graphic should be sent to and the covidvaccine,opinion,1
nvm you will feel it in few hour covidvaccine,opinion,1
call a thing a thing bipoc continue to be negatively devastated by disparity well into the st century from a,fact/announcement,0
get your covidjabs covidvaccine covidvaccines covidvaccinations folk,opinion,1
representing higher education in the nh giving covidvaccine all hand on deck today with vc,opinion,1
here are my top episode released this year although i think they are all great covidvaccine icp aes an,fact/announcement,0
president to get his covidvaccine shot momentarily he is in khayelitsha together with his health,fact/announcement,0
msm in australia saying wuhan lab is likely source of covid wuhan covid covid,fact/announcement,0
st back to work crushingcovid one covidvaccine at a time,opinion,1
if you want to know a bit more about how the covidvaccine work and the vaccinedeployment in wale i recommend at,fact/announcement,0
pfizers covidvaccine get announced on the first trading day since biden s victory and stock are ath i guess t,fact/announcement,0
mask do not work against virus covid coronavirus coronavirus covidvaccine,opinion,1
watch a press conference with about covidvaccine distribution plan for rural community courtes,fact/announcement,0
today on cmn help for denver restaurant power outage spoil covidvaccine at local kaiser sends co n,fact/announcement,0
march th today mark year since the declared covid a global pandemic i am blessed to say that,fact/announcement,0
how to find a covidvaccine appointment go to our state guide a recommended by the,fact/announcement,0
budget health well being urban swachhbharat outlay crore over year airpollution,fact/announcement,0
and for the covidvaccine,opinion,1
gabby the fastest dog watch video bidenpressconference thefive dogsoftwitter dog cat catsofinstagram,fact/announcement,0
first dose done pfizer pfizervaccine covidvaccine,opinion,1
pascal soriot there are a lot of emotion on vaccine in eu but it is complicated astrazeneca covidvaccine,fact/announcement,0
love it rocketman covidvaccine,opinion,1
on thebeat fallbackfriday rudy s hair dye dripping rudy need to,fact/announcement,0
a new covidvaccine clinic is open in the run by and city bureau of health to g,fact/announcement,0
great news now to find an appointment to get mom vaccinated a soon a possible coronavirus covid covidvaccine,opinion,1
this is part of wtf is going on covidvaccine globalreset cryptocurrency rna bodyactivitydata,opinion,1
elvis wa not all shook up to get his polio vaccination on national tv would he get the covidvaccine today and s,opinion,1
you still think the covidvaccine is safe think again covidlie,opinion,1
huge pleasure of being covidvaccine vaccinator been meeting colleague like only met in email o,opinion,1
just had my first covidvaccine pfizervaccine today except for the long wait at six flag everything wa good,opinion,1
first covid vaccine dose complete today s a good day covidvaccine,opinion,1
a of today people have received covid vaccine shot you may refer to portal for,fact/announcement,0
dr kat share a wealth of information she is got the public health scientific data on all thing covid and th,fact/announcement,0
covidvaccine wearamask staythefuqhomeplease we keep asking nicely yet people are still not hearing,opinion,1
new mexico ha the best light meet these lovely beacon head bump for you all covidvaccine landofenchantment,opinion,1
got our st covidvaccine,opinion,1
so incredibly thankful that both my parent received their covidvaccine today the nh worker scientist resea,opinion,1
getting high on it own supply covid covidvaccine,opinion,1
breakingnews why new coronavirus variant suddenly arose in the you k and south africa wiki wick,fact/announcement,0
looking forward to getting my pfizervaccine on tuesday getvaccinated covidvaccine p s i will not make a jok,opinion,1
what time do covidvaccine slot load and how many day out can we book appointment thank you,opinion,1
million plus city of maharashtra accounted for covid mortality and morbidity great to see,fact/announcement,0
who sold the multiple dos of covidvaccine in the trumpcrimefamily prosecutetrumpthugs,opinion,1
this calculator estimate where you are in the queue to receive a covidvaccine in canada if all vaccine are appr,fact/announcement,0
troyu will not receive the covidvaccine until april but auburn is already vaccinating faculty and student au and,fact/announcement,0
i am dying from this damn covidvaccine i just need medical attention and to acknowledge my existence,opinion,1
this is the legacy that radical left dem s will leave behind that will haunt them for decade bidenaddress,opinion,1
after the past several week i have spent obsessing learning iterating and design a solution for covidvaccine dist,opinion,1
public opinion covidvaccine,fact/announcement,0
vaccination all done by the way covidvaccine after it is the smallest prick you will ever see man,opinion,1
finally the rollout begin vaccine covidvaccination covidvaccine,opinion,1
covidvaccine so pleased that my parent have had theirs today x x,opinion,1
your thought about this vaccine covidvaccine,opinion,1
get your covidvaccine if you do not have a driverslicense you can get your covidvaccine if you do not have,fact/announcement,0
a of today i am fully vaccinated for covid and i would do it all over again sciencerocks covidvaccine,opinion,1
lastresponders are front line worker too ontario s funeral home cemetery and crematory have been operati,fact/announcement,0
early night for me a big day tomorrow volunteering at the covid vaccine clinic at covidvaccine covid,opinion,1
come join the conversation we are live with chatting the covidvaccine and more,fact/announcement,0
thanks governor covidvaccine atlanticcity,opinion,1
what to do and not do before and after your covid vaccine shot covid,fact/announcement,0
all my dc gal and gay go ahead and get registered to get that covidvaccine cuz if you qualify you can get it s,opinion,1
seven more covid vaccine are currently being developed in india said union health minister,fact/announcement,0
the politics of the covidvaccine and if this is anything to go by malawi will have to wait month before gettin,opinion,1
hbcufam are you all ready to go back outside covid is upsetting u and our homegirl the vaccine seems like the,opinion,1
covidvaccine acceptance ha been changing in the past few month check out the kap covid page,fact/announcement,0
here is the order from the pharmacy examining board of the dsps covid covidvaccine vaccinesabotage,fact/announcement,0
positive rate for coronavirus increase first followed by hospitalization and death florida covidvaccine,fact/announcement,0
more than likely remember everything liarjohnson say or touch turn into a pile of s,opinion,1
oklahoma issue a press release warning the public about several scam related to covid vaccine covidvaccine,fact/announcement,0
covidvaccine people everywhere this is the end of corona virus corona virus be like,opinion,1
georgia this is the tip of the iceberg and people are experience trouble getting a vaccine this is sad,opinion,1
when registering for the covidvaccine make sure you fit the criterion where you are registering watch the full vi,fact/announcement,0
looking for update on the covidvaccine utilize reliable source of information,fact/announcement,0
harshvardhan review preparation ahead of covidvaccine dry run in delhi,fact/announcement,0
she is so on point bidenharris covidvaccine,opinion,1
covidvaccine dose update i got my shot at pm on friday felt fine the rest of the day woke up in th,opinion,1
great guy please share he is spot on covidvaccine coviduk,opinion,1
yes a lot of info in that thread on covidvaccine supply vaccinestrategy,fact/announcement,0
if you are shielding and not yet had your covidvaccine book your jab online at or by callus,fact/announcement,0
goodmorning uk it not going unnoticed that the uk lead the world in many way,fact/announcement,0
got vaccinated this week no side effect yet the whole process wa very efficient vaccine vaccinationcovid,opinion,1
we are right here with you helping you all the while bjsindia bjsmumbai bjsmission mumbai dharavi,opinion,1
at this moment in time football is not a priority mentalhealth mentalhealthawareness mentalhealthmatters,opinion,1
what can people in wealthy nation do to fix covidvaccine apartheid covid coronavirusvaccine,opinion,1
thursdaythoughts hudad got his first covidvaccine shot today he is feeling fatigued and i can sense it i have b,opinion,1
i do not think the school will be back in january not until all the child can be vaccinated calling it now covid covidvaccine,opinion,1
india s vaccination drive start tomorrow here is all you need to know covidvaccine covid,fact/announcement,0
thanks obligatory vaccination photo excuse the tired eye it is been a busy day covidvaccine,opinion,1
day after my second vaccine wa a little rough but today i feel like a superhero covidvaccine,opinion,1
if you have received a covidvaccine you must still continue to follow national guidance,fact/announcement,0
try all the covidvaccine on her,fact/announcement,0
hey how much is sussex tier lockdown curfew more about abi,opinion,1
punting the covidvaccine planning to state and county may just be the worst screw up of the most disastrous adm,opinion,1
prime minister start covid sinopharmvaccine vaccination campaign in pakistan islamabad,fact/announcement,0
congratulation caution some experience mild to moderate euphoria status post covidvaccine,opinion,1
join u discus the latest data and early lesson from covidvaccine rollout in longtermcare pm et on pa,fact/announcement,0
south africa plan to share it million covidvaccine dos to interested nation via the african un,fact/announcement,0
i am a home health nurse and i still cannot get a covidvaccine epicfail,opinion,1
first dose done and dusted covidvaccination covidvaccine covidvaccineuk,opinion,1
head up folk in lacounty with friend or family or loved one register now spot limited,fact/announcement,0
in the queue with half the country trying to get covidvaccine for loved one in fl via these are not con,opinion,1
got my second covidvaccine this morning glad to have this out of the way,opinion,1
latest press release coronavirus israel live pfizer covidvaccine is effective in preventing death israel,fact/announcement,0
the pcr test is not a valid test to determine if somebody ha covid nlpoli covidvaccine,fact/announcement,0
man dy within hour of receiving covidvaccine,opinion,1
reaction of people after the news of covid vaccine and month lockdown russianvaccine covidvaccine,fact/announcement,0
you should check your fact moderna timeline show it began working on a vaccine while trump,opinion,1
which vaccine wa it where people vaccinated with it died of covid covid covidvaccine,fact/announcement,0
health centre approves russia s sputnik v covid vaccine for use sputnikv covidvaccine russia,fact/announcement,0
covidvaccine priorycampus barnsleynhs second jab this morning fantastic efficient team thanks to all concerne,opinion,1
received my covidvaccine apt for next week cannot help but see the privilege in this i work from home isolate,opinion,1
council in cornwall and devon prioritise road to covidvaccine centre with also saying i,fact/announcement,0
nobody ever responds here but i need some opinion my adhd diagnosis put me in the next round for a covidvaccine,opinion,1
toronto resident and up can now register and book their covidvaccine appt the online registration system is n,fact/announcement,0
russia announces covidvaccine other country,fact/announcement,0
do not forget that the covid covid covidvaccine programme wa not arranged by labour or the libdems it wa a,opinion,1
finally got my y o diabetic mom a vaccine appointment in nj for feb th i am still not able to get it yet covidvaccine,opinion,1
hialeah secures partnership to distribute moderna covidvaccine a fema site move to only offer,fact/announcement,0
here is how you do the covidvaccine give vaccine to any one who want it in this order st round doctor nurse,opinion,1
that is commendable well done vaccine covidvaccine covid,opinion,1
chinaliedpeopledied covid covidvaccine only covidiots did not know these thing,opinion,1
i just registered my mom for the covid vaccine in jordan the online platform for registration is very easy and,opinion,1
second covidvaccine today imvaccinated togetherasbuckeyes thisisourshot hope,opinion,1
a man convinced against his will is of the same opinion still trump impeachment nfl nba china florida,opinion,1
jen psaki press secretary doe not wear mask at covid press briefing she is a joke jenpsaki covid,opinion,1
wait did dolly parton just save dollyparton covidvaccine dollypartoncovid researchfund,opinion,1
my dad ha just made an appointment for his first dose of covidvaccine i feel incredibly relieved and thankful t,opinion,1
did a bit of this today with housebound to support my community nursing comrade covidvaccine,opinion,1
we may not be able to come for walk in hour at a covidvaccine clinic or deal with long wait due to often hard,fact/announcement,0
number in the arm so grateful and covidvaccine covid,opinion,1
sam thanks for keeping u sane through and for promoting positive message about covidvaccine,opinion,1
big move today just to spread awareness of you have the opp to get the vaccine do not think twice staysafe,opinion,1
got parent vaccinated great relief covidvaccine,opinion,1
can we talk about the th or th amendment covid covid covidiots superspreader covidvaccine superspreader,opinion,1
guess whose getting their covid vaccine on saturday meeeee coronavirusvaccine covidvaccine cysticfibrosis,opinion,1
the government ha created the covidvaccine intelligence network cowin app to handle the immunization campaign la,fact/announcement,0
who decides the volunteer in age group or is it that astrazeneca testing somewhere in,opinion,1
just got my first dose of covidvaccine feeling great it is not even a thick serum so no real pain with the actual shot win win win,opinion,1
having a reaction to last night covidvaccine headache cold shiver high temperature and stiffness a if a donk,opinion,1
novavax vaccine efficacy update covid covid uk vaccine novavax covidvaccine,fact/announcement,0
get it together covidvaccine,opinion,1
my year old father wa turned away from the covidvaccine because his va doctor decided instead to put him on,opinion,1
saying that scottyfommarketing doe not have a covidvaccine plan is like saying water is wet auspol abc,opinion,1
february is the worlddayofthesick when catholic offer prayer for those suffering from illness join the,fact/announcement,0
this is not opposition leadership get rid of him incompetence covidvaccine,opinion,1
join me and dr richa agnihotri for a lively and fun around of covidvaccine q a on instagram live,fact/announcement,0
just got told nurse were advised the vaccine ha a chance of sterilization this is some next lvl shit covidvaccine,opinion,1
long long line today for the covidvaccine in palmharbor florida,opinion,1
covidvaccine pursuit ha to be for common good say common good is a rock he add,fact/announcement,0
we are using every tool in the toolbox to keep our patient staff community healthy and safe that includes,fact/announcement,0
lovely to see covidvaccine tracker starting to come together the further into the rollout we get mo,opinion,1
boom one step closer covidvaccine,opinion,1
glad i held my nerve and did not cash in my investment when the market went covidvaccine,opinion,1
this is awesome clinicaltrials covidvaccine,opinion,1
breakingnews election covid covidvaccine smartmatic filed numerous usa trademark to profit off of,fact/announcement,0
first indian celebrity to get vaccinated for coronavirus shilpashirodhkar coronavirus bollywood covid,fact/announcement,0
had my first dose of covidvaccine today very well organised immunisation centre at clatterbridge hospital by,opinion,1
it is here covidvaccine dose i know how tremendously privileged i am doingmypart notthrowingawaymyshot,opinion,1
i am going with my realistic optimist philosophy of life vaccine are on their way from multiple source a year a,opinion,1
our health reporter ha a look at myth about the new covidvaccine that story is on the way pm,fact/announcement,0
cv location show covidvaccine slot in va abingdon charlottesville chatham chesapeake clarksville danville d,fact/announcement,0
outstanding job in boston westroxbury lost power around pm back at am kept u informed and worked,fact/announcement,0
the curve is already flat let the party begin covidvaccine,opinion,1
degree in fresno degree in sacramento mother nature encourages sheltering in place we will blossom spring covidvaccine,fact/announcement,0
i am thankful i wa able to receive my first dose of the covidvaccine today that will hopefully pas antibody on,opinion,1
one shot down one shot to go thank you covidvaccine,opinion,1
happy nationalpetday to the pet of our covidvaccine scheduling team which pet do you wish could call you for yo,fact/announcement,0
so happy to enter covidvaccine into my patient medical record when they tell me they have had it family doc,opinion,1
it is great publichealth ha pushed for massadoption of the covidvaccine but our community effort look bad when,opinion,1
first batch of covidvaccine arriving into ghana part of the covax initiative excellent to see this,opinion,1
st fauci ouchie is scheduled for covid covidvaccine lightattheendofthetunnel probablynotatrain,opinion,1
important to talk about taking the covidvaccine a,opinion,1
you can forget about your covidvaccine sa rollout not because the people will protest no the,opinion,1
great interview novavax is already working on a covidvaccine that will work against the b variant that emer,fact/announcement,0
dey r falling dat fast becos of vaccine innit so you mean human r bak in control we decla,opinion,1
covid first vaccine flight arrived at islamabad thanks to china china covidvaccine,fact/announcement,0
great to hear via that you are having your covidvaccine we have started our,fact/announcement,0
mn lakh people ha been vaccinated for corona virus in india covidvaccine,fact/announcement,0
theview vid attached is what actually happened when princess,fact/announcement,0
just took my year old gran for her vaccination and it definitely brought some hope to a gloomy january covidvaccine,opinion,1
the supply chain to save the world is unprepared for a vaccine covidvaccine,fact/announcement,0
i just received the second vaccine covidvaccine,opinion,1
covid releasing various security patch for different region covid covid covidvaccine,fact/announcement,0
i have been seeing a few post about senior being scared of going to covidvaccine clinic due to fear of contract,opinion,1
i just got my vaccine shot scheduled covidvaccine,opinion,1
given the history of medical experimentation on and exploitation of bipoc is there any surprise covid,opinion,1
in chennai anyone over getting covidvaccine,opinion,1
i am assuming all who believe that covid is a covidhoax along with all who identify a antivaxx or antivax wi,opinion,1
in early december margaret keenan became the first person in the world to receive the pfizer covidvaccine right,fact/announcement,0
nd covidvaccine approved in uk looking forward to covidfree nh rcem,opinion,1
i heard that the best thing about the new j j vaccine is that it doe not involve the jet johnsonandjohnson nyjets covidvaccine,opinion,1
motivational video of the year link for the video online exam only,fact/announcement,0
mexicano we are sooooo screwed actually we are so f cked covidvaccine,opinion,1
updated covidvaccine allocation phase for tennessee this is the latest a of,fact/announcement,0
part of how doe the testing respond to risk mitigation armymedicine armystrong,fact/announcement,0
covidvaccine covid spike in case following vaccine rollout,fact/announcement,0
donaldtrump to putin after covidvaccine,opinion,1
