user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,is_retweet,clean_hashtags,clean_text,clean_tweets,label,classes
Brendan Ogle,,"Trade Unionist, activist, anti-racist, anti-fascist leftist.I only engage with identifiable profiles. Twitter anonymity is for cowards & trolls. Go away",2019-08-16 10:58:00,1997.0,578.0,6364.0,False,2021-02-20 13:53:00,@DrMikeRyan @trocaire @WorldHealthOrg2 #COVIDVaccine #Ireland #neoliberalism this is the best Ireland has. A true… https://t.co/03FdmYiuiS,"['COVIDVaccine', 'Ireland', 'neoliberalism']",Twitter for iPhone,False,"covidvaccine, ireland, neoliberalism",covidvaccine ireland neoliberalism this is the best ireland has a true,covidvaccine ireland neoliberalism this is the best ireland ha a true,opinion,1
The Wandering Scotsman,"Phoenix, AZ",Believer🙏🏻Sports🏀🏈⚾️Music🎸Born➡️Raised➡️Phoenix➡️,2010-05-27 09:34:00,342.0,1664.0,4846.0,True,2021-02-10 01:42:00,So #OJSimpson gets the #CovidVaccine before the elderly and those with pre-existing conditions. Sure life is fair.… https://t.co/hy4Z2Vwgf1,"['OJSimpson', 'CovidVaccine']",Twitter for iPhone,False,"ojsimpson, covidvaccine",so ojsimpson gets the covidvaccine before the elderly and those with preexisting conditions sure life is fair,so ojsimpson get the covidvaccine before the elderly and those with pre existing condition sure life is fair,opinion,1
فتحي الاثوري,تعز / مهندس مدني,‏‏‏( وَقُلْ عَسَىٰ أَنْ يَهْدِيَنِ رَبِّي لِأَقْرَبَ مِنْ هَٰذَا رَشَدًا),2016-07-16 19:02:00,817.0,983.0,41625.0,True,2021-01-29 18:17:00,"#WayOfHealingCoronaForLife
""That’s in order for you to know the sure knowledge that by no means and they can never… https://t.co/4ii8KYlcCa",['WayOfHealingCoronaForLife'],Twitter for Android,False,wayofhealingcoronaforlife,wayofhealingcoronaforlifethats in order for you to know the sure knowledge that by no means and they can never,wayofhealingcoronaforlife that is in order for you to know the sure knowledge that by no mean and they can never,fact/announcement,0
Dr.Nelson Nameirakpam,Imphal,"Junior Resident Doctor ,Believer of Almighty☀️|ManchesterUnited❤️|",2012-04-10 14:44:00,121.0,2628.0,15495.0,True,2021-02-04 09:41:00,Got My 1st shot of #CovidVaccine Today. @MoHFW_INDIA https://t.co/GamRtOA0kn,['CovidVaccine'],Twitter for iPhone,False,covidvaccine,got my 1st shot of covidvaccine today,got my st shot of covidvaccine today,opinion,1
West Bridgford Wire News,Nottingham,Nottingham's fastest breaking news website 📲@westbridgfordwirenews on IG & TikTok  • 0115 944 7445 - newsdesk@westbridgfordwire.com,2011-10-14 10:28:00,23559.0,13287.0,0.0,True,2020-11-09 18:19:00,"• 9 November: UK #Coronavirus update – 194 deaths and 21,530 cases recorded in last 24 hours
#COVID19 #CovidVaccine 
https://t.co/6rzVYLf9HN","['Coronavirus', 'COVID19', 'CovidVaccine']",Twitter Web App,False,"coronavirus, covid19, covidvaccine",9 november uk coronavirus update 194 deaths and 21530 cases recorded in last 24 hourscovid19 covidvaccine,november uk coronavirus update death and case recorded in last hour covid covidvaccine,fact/announcement,0
Charlotte Jenkins,"Wales, United Kingdom","Gaming, F1, football, running yadayada ☺️ @McLarenf1 and @swansofficial 💕💕",2016-11-06 17:46:00,42.0,249.0,2001.0,True,2020-12-31 21:54:00,Even better news had my #CovidVaccine today...,['CovidVaccine'],Twitter for Android,False,covidvaccine,even better news had my covidvaccine today,even better news had my covidvaccine today,opinion,1
Pushpa Narayan,"TOI, Chennai","TOI Senior Assistant Editor: healthcare, environment, women and children | Author of stories that inspired policy changes | Love to inform and entertain",2020-12-21 13:35:00,2262.0,113.0,137.0,True,2021-04-09 04:46:00,"TN has 45 days’ stock as it’s vaccinating only 37,000 a day.
#CovidVaccine #IndiaFightsCorona #TamilNadu https://t.co/BPHi82nwOz","['CovidVaccine', 'IndiaFightsCorona', 'TamilNadu']",Twitter Web App,False,"covidvaccine, indiafightscorona, tamilnadu",tn has 45 days stock as its vaccinating only 37000 a daycovidvaccine indiafightscorona tamilnadu,tn ha day stock a it is vaccinating only a day covidvaccine indiafightscorona tamilnadu,fact/announcement,0
arLevi,Israel,Just another software engineer,2010-10-11 15:32:00,26.0,48.0,2006.0,False,2021-02-17 05:59:00,Shame on #bibi for forcing #COVIDVaccine on parents or else their kids wont get back to school !! It is against… https://t.co/MBFKkA1Gue,"['bibi', 'COVIDVaccine']",Twitter for Android,False,"bibi, covidvaccine",shame on bibi for forcing covidvaccine on parents or else their kids wont get back to school it is against,shame on bibi for forcing covidvaccine on parent or else their kid will not get back to school it is against,opinion,1
🇨🇦Ashley Mil🇨🇦👨‍⚕️🩺🎗👨‍👩‍👧‍👧 ☕️ ⚽️,,"Canadian Certified Physician Assistant, mentor, coach, referee, son and husband; most importantly, father to a pair of confident young women. #Girldad #HeforShe",2012-12-25 15:14:00,248.0,629.0,3836.0,False,2021-03-23 10:58:00,"Way to go, Windsor.
@TheWECHU 
#COVID19Ontario 
#CovidVaccine https://t.co/MC9CgivnkI","['COVID19Ontario', 'CovidVaccine']",Twitter for iPad,False,"covid19ontario, covidvaccine",way to go windsor covid19ontario covidvaccine,way to go windsor covid ontario covidvaccine,opinion,1
Elana Rabinowitz,"Brooklyn, NY",Writer. Teacher. Punster. #CNF #Binders Words in @washingtonpost @nytimes @CNN @USATODAY @ozy @NYDailyNews #Brooklyn born & bred. https://t.co/q4q50dSkRE,2013-04-19 20:40:00,4257.0,4193.0,5286.0,False,2021-03-11 23:41:00,#JavitsCenter For those in need of extra #work AND the #CovidVaccine send in your resumes. https://t.co/qwlkLbHhCH,"['JavitsCenter', 'work', 'CovidVaccine']",Twitter Web App,False,"javitscenter, work, covidvaccine",javitscenter for those in need of extra work and the covidvaccine send in your resumes,javitscenter for those in need of extra work and the covidvaccine send in your resume,fact/announcement,0
Rogue Prime,Remote,"Creative multimedia production services specializing in digital marketing, copywriting and long-form content.",2020-04-30 05:22:00,0.0,6.0,11.0,True,2020-11-17 09:40:00,"The way things are going, even the Thanksgiving turkey will need to wear a mask. 

#CovidVaccine",['CovidVaccine'],Twitter Web App,False,covidvaccine,the way things are going even the thanksgiving turkey will need to wear a mask covidvaccine,the way thing are going even the thanksgiving turkey will need to wear a mask covidvaccine,opinion,1
||||M is For The People||||,,Egalitarian. Consequentialist. Nonconformist. Dreamer of a More Perfect Union. ||Optimism is the effective survival skill||Only Speak Truth||Justice is North||⚖,2014-05-05 16:17:00,678.0,1670.0,21567.0,True,2020-11-20 15:45:00,"""Pfizer Files For Emergency FDA Approval For COVID Vaccine, Says Can Distribute in December""
#COVID19 
#COVID… https://t.co/g1rweu8kLn","['COVID19', 'COVID']",Twitter for Android,False,"covid19, covid",pfizer files for emergency fda approval for covid vaccine says can distribute in decembercovid19 covid,pfizer file for emergency fda approval for covid vaccine say can distribute in december covid covid,fact/announcement,0
ETHealthWorld,"Noida, India",One stop platform that tracks all breaking news & analysis of the pulsating healthcare industry.,2014-10-30 07:51:00,5940.0,891.0,249.0,True,2020-10-11 05:00:00,ETHealthworld | Mexico makes nearly $160 million down payment for COVAX vaccine plan #CovidVaccine #Mexico… https://t.co/2M19cC9NCG,"['CovidVaccine', 'Mexico']",econ b2b post,False,"covidvaccine, mexico",ethealthworld mexico makes nearly 160 million down payment for covax vaccine plan covidvaccine mexico,ethealthworld mexico make nearly million down payment for covax vaccine plan covidvaccine mexico,fact/announcement,0
penonfire,Dallas,"I'm Cheryl Smith, the publisher and Editor-in-Chief of @texasmetronews @garlandjournal. I'm also @NABJ secretary and member of @SPJ_Tweets.",2008-12-17 04:51:00,1562.0,431.0,3331.0,False,2021-03-20 05:30:00,Dallas Mayor: ‘Don’t hesitate to get the COVID-19 vaccine’ - https://t.co/ME20DffOHr  @texasmetronews #moderna… https://t.co/hXgA722p7B,['moderna'],Twitter Web App,False,moderna,dallas mayor dont hesitate to get the covid19 vaccine moderna,dallas mayor do not hesitate to get the covid vaccine moderna,fact/announcement,0
ROBERT CVENGROS,United States,Amatuer golfer,2011-06-03 00:10:00,51.0,155.0,1107.0,True,2021-01-28 04:26:00,So @Kia tells me to call them just to tell me that they won't fix their design flaw. Don't buy #Kia cars!!! This is… https://t.co/BgN8WJL4UM,['Kia'],Twitter Web App,False,kia,so tells me to call them just to tell me that they wont fix their design flaw dont buy kia cars this is,so tell me to call them just to tell me that they will not fix their design flaw do not buy kia car this is,opinion,1
CMF,UK,Christian Medical Fellowship: uniting and equipping Christian doctors and nurses to live and speak for Jesus Christ.,2010-04-27 13:36:00,3411.0,1950.0,993.0,True,2020-11-20 10:32:00,COVID-19 vaccines: some of the wider #ethical questions #Christians will need to be thinking about… https://t.co/foLiSGkoAc,"['ethical', 'Christians']",TweetDeck,False,"ethical, christians",covid19 vaccines some of the wider ethical questions christians will need to be thinking about,covid vaccine some of the wider ethical question christian will need to be thinking about,fact/announcement,0
Jordan Davis,"Delano, CA","📍Delano, CA | Houston Rotarian         | Former At-Large Representative for City of Houston Texas, Mayor’s Youth Council",2013-12-13 02:15:00,3568.0,4993.0,24522.0,False,2021-02-27 07:17:00,My Grandma and Aunt got their 2nd COVID shot today. ❤️ #CovidVaccine https://t.co/8tRZ2QgGtA,['CovidVaccine'],Twitter for iPhone,False,covidvaccine,my grandma and aunt got their 2nd covid shot today covidvaccine,my grandma and aunt got their nd covid shot today covidvaccine,opinion,1
Melinda Mills,,"Professor University of Oxford, @NuffieldCollege, Director @OxfordDemSci PI @sociogenome project - Working to fight COVID19",2014-07-12 20:12:00,4584.0,534.0,3605.0,True,2021-01-28 15:43:00,Remember to join live at 6pm UK time tonight where we discuss #CovidScience #CovidVaccine @royalsociety… https://t.co/9LDPuRFlnc,"['CovidScience', 'CovidVaccine']",Twitter Web App,False,"covidscience, covidvaccine",remember to join live at 6pm uk time tonight where we discuss covidscience covidvaccine,remember to join live at pm uk time tonight where we discus covidscience covidvaccine,fact/announcement,0
AARP Pennsylvania,Pennsylvania,AARP PA has over 1.8 million members and is creating Real Possibilities for Pennsylvanians age 50+ and their families.,2009-07-28 15:03:00,6066.0,4765.0,3026.0,True,2021-01-14 12:23:00,"TODAY at 1PM: Live event sharing latest info on #COVIDvaccine trials, distribution &amp; more. Learn how to protect you… https://t.co/k2uENo1wsO",['COVIDvaccine'],Sprinklr,False,covidvaccine,today at 1pm live event sharing latest info on covidvaccine trials distribution amp more learn how to protect you,today at pm live event sharing latest info on covidvaccine trial distribution more learn how to protect you,fact/announcement,0
💧tracey,Australia,"Q&A watcher, interested in the environment, health & well being & our politics!",2014-09-09 12:00:00,799.0,522.0,86270.0,True,2021-01-11 02:17:00,"@sallymcmanus I'd rather we take some time with the #CovidVaccine 

Then🐨We'll🐨hopefully know of any side effects b… https://t.co/WZuaf0vN51",['CovidVaccine'],Twitter for Android,False,covidvaccine,id rather we take some time with the covidvaccine thenwellhopefully know of any side effects b,i would rather we take some time with the covidvaccine then we will hopefully know of any side effect b,opinion,1
𝖔𝖑𝖑𝖎𝖛𝖎𝖆,"Anaheim, CA","just someone who likes star wars, marvel, disney and spooky things.🌌🖤 | 23 | she/her |",2015-02-01 15:37:00,65.0,272.0,11383.0,True,2021-01-14 20:14:00,Let’s hope this helps us get back to normal soon💉 #CovidVaccine https://t.co/onxERYCQM9,['CovidVaccine'],Twitter for iPhone,False,covidvaccine,lets hope this helps us get back to normal soon covidvaccine,let u hope this help u get back to normal soon covidvaccine,opinion,1
Volker Straub 🇺🇳 #FBR #StrongerTogether,Wherever I hang my hat,The only relevant questions about the future are those where we shift the focus from whether something will happen to what would we do if it did happen.,2014-03-11 13:10:00,14862.0,14636.0,5314.0,True,2020-11-09 07:35:00,The underdog coronavirus vaccines that the world will need if front runners stumble. As #BigPharma companies fast-t… https://t.co/kd77Vquqc7,['BigPharma'],Twitter for iPhone,False,bigpharma,the underdog coronavirus vaccines that the world will need if front runners stumble as bigpharma companies fastt,the underdog coronavirus vaccine that the world will need if front runner stumble a bigpharma company fast t,fact/announcement,0
Gill Gowran,,It's easier if you smile ☺,2021-01-15 08:13:00,9.0,81.0,188.0,True,2021-02-06 12:39:00,@JeaneF1MSP My 78yr old mum in @nhsfife still doesn't have her #CovidVaccine appt letter yet. This should have arri… https://t.co/a9dQQzyyiC,['CovidVaccine'],Twitter for Android,False,covidvaccine,my 78yr old mum in still doesnt have her covidvaccine appt letter yet this should have arri,my yr old mum in still doe not have her covidvaccine appt letter yet this should have arri,opinion,1
Jean Marie Anderson,"Orlando, FL","Accomplished Emmy Award-winning Broadcast and Digital Video Content Producer who has worked for Golf Channel,  NBC Sports and Cappy Productions",2015-08-04 20:04:00,293.0,1297.0,650.0,False,2021-03-19 16:58:00,"Suck it up #DeathSantis! #covidvaccine 

https://t.co/suig9tWv3S","['DeathSantis', 'covidvaccine']",Twitter Web App,False,"deathsantis, covidvaccine",suck it up deathsantis covidvaccine,suck it up deathsantis covidvaccine,opinion,1
KT King,The Universe,Author of Little Eden novels📚💎awakener🗝 🌏inspirational 😇🤗enlightenment 🌈💎higherconsciousness👽😇compassion 🌈🦄ME/CFS/Fibro🙁🙏💖 RTs 👍 millionsmissing,2014-02-03 17:10:00,1646.0,2561.0,9366.0,True,2021-01-25 16:24:00,#unpaidcarer #carers unpaid carers not allowed vaccine even when no one else to care for their family members if th… https://t.co/CZjREnRXKg,"['unpaidcarer', 'carers']",Twitter for iPhone,False,"unpaidcarer, carers",unpaidcarer carers unpaid carers not allowed vaccine even when no one else to care for their family members if th,unpaidcarer carers unpaid carers not allowed vaccine even when no one else to care for their family member if th,opinion,1
The Pigeon Express,online,TPE Official : The world's oldest messenger revived #TPEoorhh || Instagram: thepigeonexpress,2018-09-29 07:47:00,3716.0,10.0,3611.0,True,2021-04-08 15:06:00,"Covid-19 vaccination programme is breaking the link between Covid-19 infections and deaths, study finds #COVID… https://t.co/3OnDy7SHnV",['COVID'],Twitter Web App,False,covid,covid19 vaccination programme is breaking the link between covid19 infections and deaths study finds covid,covid vaccination programme is breaking the link between covid infection and death study find covid,fact/announcement,0
Mrs. Marquez,NM,1st grade Eng/Sp Dual Language Teacher in rural community Teaching is my thing!  22 yrs #family  $my03boys https://t.co/FDxU97PBpE,2018-07-18 22:56:00,3246.0,2177.0,16827.0,True,2021-01-20 01:24:00,Thank you Jesus!!! My momma is getting her vaccine on Friday morning. She’s so excited. #vaccination #CovidVaccine 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏,"['vaccination', 'CovidVaccine']",Twitter for iPhone,False,"vaccination, covidvaccine",thank you jesus my momma is getting her vaccine on friday morning shes so excited vaccination covidvaccine,thank you jesus my momma is getting her vaccine on friday morning she is so excited vaccination covidvaccine,opinion,1
History GIS,"Virginia, USA",Using spatial data to map history - events and people.,2015-03-14 14:36:00,134.0,434.0,3267.0,True,2021-01-21 13:54:00,#CovidVaccine news in the greater #Charlottesville area.... 💙🧡 https://t.co/5F1huc0u9Y,"['CovidVaccine', 'Charlottesville']",Twitter for iPhone,False,"covidvaccine, charlottesville",covidvaccine news in the greater charlottesville area,covidvaccine news in the greater charlottesville area,fact/announcement,0
Katie Meech 💙💚,London,#climateoptimist 💚 | Corporate sustainability consultant | Community changemaker | Trustee @stem4org | Director @CREWEnergyLdn | New cyclist 🚲 | She/her,2010-01-14 21:45:00,155.0,364.0,2837.0,True,2021-02-14 16:31:00,"🙏So grateful to the NHS for my #COVIDVaccine today! 

🙏Thanks also to @pedalmeapp for the free ride there - availab… https://t.co/9p7NAbOmNB",['COVIDVaccine'],Twitter for iPhone,False,covidvaccine,so grateful to the nhs for my covidvaccine today thanks also to for the free ride there availab,so grateful to the nh for my covidvaccine today thanks also to for the free ride there availab,opinion,1
NHS England and NHS Improvement,England,We lead and support the NHS in England to deliver improved care for patients.,2012-04-11 21:47:00,464573.0,2524.0,19105.0,True,2021-01-09 08:10:00,"You cannot catch coronavirus from the #COVIDVaccine.

There’s a lot of misinformation out there, so make sure you’r… https://t.co/WJIyRThFVP",['COVIDVaccine'],Hootsuite Inc.,False,covidvaccine,you cannot catch coronavirus from the covidvaccinetheres a lot of misinformation out there so make sure your,you cannot catch coronavirus from the covidvaccine there is a lot of misinformation out there so make sure you r,fact/announcement,0
Moingeon Laurence,,"Citizen of the world, relentless quest for a meaningful futur",2020-11-13 08:29:00,0.0,28.0,7.0,True,2021-01-21 20:13:00,@afpfr 66 M too many PROC and 1 too much JUGE. Please improve the ROOL-OUT of #CovidVaccine #StrongerTogether @vonderleyen @EmmanuelMacron,"['CovidVaccine', 'StrongerTogether']",Twitter for iPhone,False,"covidvaccine, strongertogether",66 m too many proc and 1 too much juge please improve the roolout of covidvaccine strongertogether,m too many proc and too much juge please improve the rool out of covidvaccine strongertogether,opinion,1
Nathan Mynard,"New York, NY",New York-Presbyterian Weill Cornell Surgery Resident | Current Research Fellow-Cardiothoracic Surgery WCM |Auburn University Alum,2018-02-02 00:11:00,38.0,90.0,11.0,True,2020-12-30 17:15:00,Proud to be an NYC healthcare worker and to do my part in ending this terrible pandemic. #CovidVaccine https://t.co/dbU8BeIbll,['CovidVaccine'],Twitter for iPhone,False,covidvaccine,proud to be an nyc healthcare worker and to do my part in ending this terrible pandemic covidvaccine,proud to be an nyc healthcare worker and to do my part in ending this terrible pandemic covidvaccine,opinion,1
Being the Dot,Learn more: beingthedot.com,"A podcast that gives voice to the triumphs and trials of People of Color working, living, and playing in White Spaces ⚫ FB/Insta: @beingthedot",2020-06-09 15:40:00,65.0,91.0,104.0,True,2021-02-09 14:02:00,"Season 2 of the Being the Dot #podcast is here! #COVID19 specialists talk about being #FrontlineWorkers, COVID's im… https://t.co/OFE3eqHrn3","['podcast', 'COVID19', 'FrontlineWorkers']",LaterMedia,False,"podcast, covid19, frontlineworkers",season 2 of the being the dot podcast is here covid19 specialists talk about being frontlineworkers covids im,season of the being the dot podcast is here covid specialist talk about being frontlineworkers covid s i am,fact/announcement,0
Age UK East Sussex,Lewes,Age UK East Sussex is an independent local charity dedicated to helping people in later life in East Sussex.,2013-10-30 13:56:00,1230.0,906.0,140.0,True,2021-01-24 13:00:00,"Got questions about the #CovidVaccine and what it might mean for you or your loved ones? 💉

Read @age_uk's updated… https://t.co/Y7NRVqjvFK",['CovidVaccine'],Hootsuite Inc.,False,covidvaccine,got questions about the covidvaccine and what it might mean for you or your loved ones read updated,got question about the covidvaccine and what it might mean for you or your loved one read s updated,fact/announcement,0
T.C. Ng,Singapore,,2009-04-27 18:46:00,51.0,263.0,29.0,True,2021-01-24 05:25:00,A bunch of airport folks got the #CovidVaccine this week. This past year has been hard for getting together with fa… https://t.co/gTvELquSV3,['CovidVaccine'],Twitter for iPhone,False,covidvaccine,a bunch of airport folks got the covidvaccine this week this past year has been hard for getting together with fa,a bunch of airport folk got the covidvaccine this week this past year ha been hard for getting together with fa,opinion,1
Chellby,"Texas, USA","Author, Writer #Resist #BLM #Ally CashApp: $LetsWorkTogether7",2019-04-10 14:31:00,306.0,319.0,10229.0,True,2021-04-08 17:41:00,Thank you Miss Monique! I didn’t expect to cry but I did! I get to see my grandparents soon yall!!! #CovidVaccine https://t.co/1ekrhKzeu6,['CovidVaccine'],Twitter for iPhone,False,covidvaccine,thank you miss monique i didnt expect to cry but i did i get to see my grandparents soon yall covidvaccine,thank you miss monique i did not expect to cry but i did i get to see my grandparent soon you all covidvaccine,opinion,1
Miguel Perales M.D.,"New York, NY","Chief, Adult Bone Marrow Transplant Service @sloan_kettering  Current @BeTheMatch & former @ASTCT Board Member @ALLIANCE_org Transplant Comm Chair #StayAtHome",2013-05-06 13:41:00,14196.0,2168.0,13787.0,True,2021-02-07 16:43:00,"If they don't want to be told to wear masks, they shouldn't be telling others not to get #CovidVaccine New Front in… https://t.co/v78zi20w2A",['CovidVaccine'],Twitter Web App,False,covidvaccine,if they dont want to be told to wear masks they shouldnt be telling others not to get covidvaccine new front in,if they do not want to be told to wear mask they should not be telling others not to get covidvaccine new front in,opinion,1
Surly.Schierle,ZZ9 Plural Z Alpha,,2009-04-20 19:35:00,90.0,261.0,71.0,True,2021-02-03 15:50:00,Seemed like the time to share with #TikiNight at @doordivebedstuy tomorrow and the #CovidVaccine just being made av… https://t.co/mxSpXjbisn,"['TikiNight', 'CovidVaccine']",Instagram,False,"tikinight, covidvaccine",seemed like the time to share with tikinight at tomorrow and the covidvaccine just being made av,seemed like the time to share with tikinight at tomorrow and the covidvaccine just being made av,fact/announcement,0
Paul Martins,"Louth, Ireland","Tired of seeing political and judicial corruption run rampant, destroying our children's futures. They deserve better and we can make a difference!",2017-01-14 16:38:00,258.0,281.0,15924.0,True,2021-01-19 17:23:00,"Don't hug your kids, even with the #CovidVaccine...

https://t.co/8Wje6bCDqU https://t.co/YWhPOHBVZG",['CovidVaccine'],Twitter for Android,False,covidvaccine,dont hug your kids even with the covidvaccine,do not hug your kid even with the covidvaccine,opinion,1
Mariam,"Portsmouth, England",,2018-08-27 04:54:00,13.0,84.0,88.0,True,2021-02-10 16:36:00,"Time to play our parts, one jab at a time ! #COVIDVaccine #BAME  #pandemic #Covid19UK https://t.co/dz5m6Fzx7g","['COVIDVaccine', 'BAME', 'pandemic', 'Covid19UK']",Twitter for iPhone,False,"covidvaccine, bame, pandemic, covid19uk",time to play our parts one jab at a time covidvaccine bame pandemic covid19uk,time to play our part one jab at a time covidvaccine bame pandemic covid uk,opinion,1
'Anyi Oraelosi,CloseBy,"Architect, Developer. Lover of a Just Livable Earth peopled by Decent Honest Humans. Retweets not endorsement.",2010-11-15 13:57:00,499.0,469.0,26686.0,True,2020-11-18 07:00:00,"You Did GOOD! 

The #CovidVaccine will Do GOOD! https://t.co/rcQ8pBrmzb",['CovidVaccine'],Twitter for Android,False,covidvaccine,you did good the covidvaccine will do good,you did good the covidvaccine will do good,opinion,1
